,wavelength,intensity
0,200.0,1204.0
1,200.1,1277.69
2,200.2,1349.362
3,200.3,1417.0
4,200.4,1478.974
5,200.5,1535.205
6,200.6,1586.0
7,200.7,1631.562
8,200.8,1671.671
9,200.9,1706.0
10,201.0,1734.259
11,201.1,1756.297
12,201.2,1772.0
13,201.3,1781.282
14,201.4,1784.17
15,201.5,1780.724
16,201.6,1771.0
17,201.7,1755.214
18,201.8,1734.212
19,201.9,1709.0
20,202.0,1680.614
21,202.1,1650.216
22,202.2,1619.0
23,202.3,1588.219
24,202.4,1559.367
25,202.5,1534.0
26,202.6,1513.51
27,202.7,1498.648
28,202.8,1490.0
29,202.9,1487.999
30,203.0,1492.449
31,203.1,1503.0
32,203.2,1519.236
33,203.3,1540.482
34,203.4,1566.0
35,203.5,1595.081
36,203.6,1627.142
37,203.7,1661.633
38,203.8,1698.0
39,203.9,1735.847
40,204.0,1775.39
41,204.1,1817.0
42,204.2,1861.051
43,204.3,1907.923
44,204.4,1958.0
45,204.5,2011.617
46,204.6,2068.918
47,204.7,2130.0
48,204.8,2194.74
49,204.9,2262.144
50,205.0,2331.0
51,205.1,2399.978
52,205.2,2467.282
53,205.3,2531.0
54,205.4,2589.201
55,205.5,2639.877
56,205.6,2681.0
57,205.7,2710.662
58,205.8,2727.432
59,205.9,2730.0
60,206.0,2717.262
61,206.1,2688.949
62,206.2,2645.0
63,206.3,2585.641
64,206.4,2512.246
65,206.5,2426.478
66,206.6,2330.0
67,206.7,2224.587
68,206.8,2112.471
69,206.9,1996.0
70,207.0,1877.522
71,207.1,1759.4
72,207.2,1644.0
73,207.3,1533.509
74,207.4,1429.408
75,207.5,1333.0
76,207.6,1245.367
77,207.7,1166.707
78,207.8,1097.0
79,207.9,1036.101
80,208.0,983.384
81,208.1,938.1
82,208.2,899.406
83,208.3,866.078
84,208.4,836.8
85,208.5,810.34
86,208.6,785.817
87,208.7,762.435
88,208.8,739.4
89,208.9,716.053
90,209.0,692.28
91,209.1,668.1
92,209.2,643.607
93,209.3,619.188
94,209.4,595.3
95,209.5,572.417
96,209.6,551.069
97,209.7,531.8
98,209.8,515.099
99,209.9,501.23
100,210.0,490.4
101,210.1,482.742
102,210.2,478.09
103,210.3,476.2
104,210.4,476.784
105,210.5,479.36
106,210.6,483.4
107,210.7,488.378
108,210.8,493.782
109,210.9,499.1
110,211.0,503.87
111,211.1,507.814
112,211.2,510.7
113,211.3,512.357
114,211.4,512.845
115,211.5,512.286
116,211.6,510.8
117,211.7,508.538
118,211.8,505.77
119,211.9,502.8
120,212.0,499.903
121,212.1,497.253
122,212.2,495.0
123,212.3,493.27
124,212.4,492.099
125,212.5,491.5
126,212.6,491.472
127,212.7,491.961
128,212.8,492.9
129,212.9,494.247
130,213.0,496.054
131,213.1,498.4
132,213.2,501.404
133,213.3,505.359
134,213.4,510.6
135,213.5,517.545
136,213.6,526.94
137,213.7,539.615
138,213.8,556.4
139,213.9,578.205
140,214.0,606.266
141,214.1,641.9
142,214.2,686.475
143,214.3,741.566
144,214.4,808.8
145,214.5,889.781
146,214.6,986.018
147,214.7,1099.0
148,214.8,1230.129
149,214.9,1380.469
150,215.0,1551.0
151,215.1,1742.422
152,215.2,1954.321
153,215.3,2186.0
154,215.4,2436.404
155,215.5,2703.026
156,215.6,2983.0
157,215.7,3273.111
